level,kanji_final,kanji_ai,hiragana_katakana,romaji_final,english_ai,pos,example_jp,example_en,usage_note
N5,強い,強い,つよい,tsuyoi,strong,adjective,彼はつよい男だ。,He is a strong man.,
N5,弱い,弱い,よわい,yowai,weak,adjective,彼はよわいです。,He is weak.,
N5,丸い,丸い,まるい,marui,round (shape),adjective,この円形のメダルはまるいです。,This round medal is rounded.,
N5,じょうぶな,じょうぶな,じょうぶな,jo-ubuna,sturdy,adjective,彼の体はじょうぶだ,He is sturdy.,
N5,デザイン,デザイン,デザイン,dezain,design,noun,この家のデザインはいいね,I like the design of this house.,
N5,どう,どう,どう,dou,how,interrogative adverb,どうしてここに来てしまったのかな,Why did I come here?,
N5,とても,とても,とても,totemo,very,adverb,彼女はとても可愛いね,She is very cute.,
N5,でも,でも,でも,demo,but,conjunction,私は好きだけど、妹は嫌いだ,"I like it, but my sister doesn't.",
N5,いかが,いかが,いかが,ikaga,how (polite),interrogative noun,いかがなさいますか,How are you?,
N5,もう,もう,もう,mou,more / already,adverb,もう帰る時間だね,It's already time to go home.,
N5,少し,すこし,すこし,sukoshi,a little,adverb,あなたはすこしお腹減っているな,"You're a little hungry, aren't you?",
N5,ほう,ほう,ほう,hou,side / option,noun,彼のほうが強いよ,He's stronger than him.,
N5,おもしろい,おもしろい,おもしろい,omoshiroi,interesting / funny,adjective,この本はすごくおもしろい,This book is very interesting.,
N5,合ね,合ね,つまらない,tsumaranai,boring,adjective,はさやアコを法きたい、合ねますです。,This TV show is boring and I won't watch it.,
N5,安やたけ,安やたけ,むずかしい,muzukashii,difficult,adjective,ジャドでますできたい、安やたけだ,"I tried, but it was difficult.",
N5,好でます,好でます,やさしい,yasashii,easy / kind,adjective,いるフールは好でます、いんだ。,This math problem is easy to solve.,
N5,安わりる,安わりる,べんりな,benrina,convenient,adjective,フールです、安わりるんますだ,This train station is convenient.,
N5,がしりる,がしりる,ふべんな,fuben-na,inconvenient,adjective,フールです、がしりるんますだ,This train station is inconvenient.,
N5,徍つます,徍つます,しずかな,shizuka-na,quiet,adjective,ありーカでます、徍つますんますだ,"This place is quiet, and it's quiet.",
N5,反るます,反るます,にぎやかな,nigiyanaka-na,lively,adjective,ありーカで反るます、徍つますんますだ,"This place is lively, but it's quiet.",
N5,合か,合か,あつい,atsui,hot,adjective,アコを法きたい、合かますできます。,"This weather is hot, so I won't go out.",
N5,口か,口か,さむい,samui,cold,adjective,アコを法きたい、口かますできます。,"This weather is cold, so I won't go out.",
N5,水たりる,水たりる,あたたかい,atatakai,warm,adjective,アコを法きたい、水たりるますできます。,"This weather is warm, so I won't go out.",
N5,すずしい,,すずしい,suzushii,cool (weather),adjective,今日はすずしいです。,Today is cool.,
N5,おいしい,,おいしい,oishii,delicious,adjective,このレストランはとてもおいしいです。,This restaurant is very delicious.,
N5,まずい,,まずい,mazui,bad-tasting,adjective,この味はまずいです。,This taste is bad.,
N5,たのしい,,たのしい,tanoshii,fun,noun/adjective,この遊園地はkidsにとてもたのしいです。,This amusement park is very fun for kids.,
N5,いそがしい,,いそがしい,isogashii,busy,adjective,彼女は今仕事がとてもいそがしいです。,She is very busy at work now.,
N5,ひまな,,ひまな,himana,free / not busy,adjective,今日はあなたに休みがあるから、ゆっくりしていましょう。,"Today you have a break, so take it easy.",
N5,すごい,,すごい,sugoi,amazing,adjective,この映画はすごいです。,This movie is amazing.,
N5,たいへんな,,たいへんな,taihen na,tough / hard,adjective,彼の試験はとてもたいへんなことでした。,His exam was very tough.,
N5,じみな,,じみな,jimina,plain / simple,adjective,この服はじみなが着ることができます。,This clothes are plain and easy to wear.,
N5,ちかい,,ちかい,chikai,near,adjective,近い駅から出ることができます。,There is a station nearby.,
N5,べんりな,,べんりな,benrina,convenient / handy,adjective,この駅がべんりないです。,This station is very convenient.,
N5,きたない,,きたない,kitanai,dirty,adjective,この部屋はきたないです。,This room is dirty.,
N5,まずい,,まずい,mazui,tasting,adjective,この料理はまずいと思います。,I think this food tastes bad.,
N5,おおい,,おおい,ooi,many,adverb,人がおおいです。,There are many people.,
N5,すくない,,すくない,sukunai,few,adjective,この店で人がすくない。,There are few people in this store.,
N5,うるさい,,うるさい,urasaai,loud / noisy,adjective,この部屋はうるさいです。,This room is very loud.,
N5,ゆうめいな,,ゆうめいな,yuumenai,famous,adjective,この映画はゆうめいなです。,This movie is very famous.,
N5,あぶない,,あぶない,abunai,dangerous,adjective,この場所はあぶないです。,This place is dangerous.,
N5,たいせつな,,たいせつな,taisetsu na,important,adjective,この問題はたいせつなです。,This problem is very important.,
N5,かんたんな,,かんたんな,kantan na,simple / easy,adjective,この問題はかんたんなです。,This problem is very simple.,
N5,ひまな,,ひまな,himana,free / relaxed,adjective,今日はひまな日曜日だ。,Today is a free Sunday.,
N5,たいへんな,,たいへんな,taihennan,hard / tough,adjective,この問題はたいへんなよ。,"This problem is hard/tough, isn't it?",
N5,おもしろい,,おもしろい,omoshiroi,interesting,adjective,この映画はおもしろいね。,This movie is interesting.,often used as a polite expression
N5,,,さびしい,sappi-shii,lonely,adj,悲しい気持ちで、寂しい,He was feeling lonely.,"The word 'sappi-shii' is a strong feeling of sadness, sorrow, and loneliness. It can be accompanied by feelings of isolation or separation. "
N5,,,ねむい,,,,,,
N5,,,じょうずな,,,,,,
N5,,,へたな,heta na,,,,,
N5,,,むりな,,,,,,
N5,,,しんせつな,shinsetsu na,,,,,
N5,,,げんきな,,,,,,
N5,,,わかい,,,,,,
N5,おもしろい,おもしろい,おもしろい,omoshiori,interesting / fun,adjective,彼の本は、おもしろいです。,His book is interesting.,
N5,たのしい,たのしい,たのしい,tanoshii,fun / enjoyable,adjective,旅行が、たのしそうに終わりました。,The trip ended in a fun way.,
N5,かんたんな,かんたんな,かんたんな,kantan na,easy / simple,adverb/adjective,彼は難しい問題を、かんたんなと考える。,He thinks that difficult problems are easy.,
N5,へたな,へたな,へたな,heta na,bad at / unskilled,adjective,彼は絵を描くのは、へたなです。,He's bad at drawing.,
N5,しんせつな,しんせつな,しんせつな,shinsetsu na,kind / friendly,adjective,彼女はきれいにしんせつな人だと思います。,I think she's a kind person.,
N5,だめな,だめな,だめな,dame na,no good / not allowed,adverb/adjective,それは、だめなことです。,That's no good.,
N5,だいじょうぶな,だいじょうぶな,だいじょうぶな,daijoubu na,all right / okay,adverb/adjective,お金を失ったが、だいじょうぶです。,"Although I lost money, it's all right.",
N5,じ,,時,ji,time,noun,今日は午後から仕事が始まります。,My work starts this afternoon.,"This is a common word for time. There are different ways to use it. Like, the past, present and future."
N5,痛い,痛い,いたい,itai,painful,adjective,私は、お腹に少し痛いです。,I have a slight stomachache.,
N5,疲れた,疲れた,つかれた,tsukareta,tired,verb/adjective,私は明日まで、しっかり休んで疲れなくてすみそうです。,I'm planning to rest thoroughly until tomorrow and avoid getting tired.,
N5,怖い,怖い,こわい,kowai,scary,adjective,私は、恐ろしく怖い映画を見るのは嫌だ。,I don't like watching scary movies because they're too frightening.,
N5,嬉しい,嬉しい,うれしい,urei,happy,adjective,,,
N5,悲しい,悲しい,かなしい,kanashi,sad,adjective,,,
N5,すごい,すごい,すごい,sugoi,amazing / great,adjective,,,
N5,ひどい,ひどい,ひどい,hidoi,terrible / awful,adjective,,,
N5,厳しい,厳しい,きびしい,kibishii,strict,adjective,,,
N5,緩い,緩い,ゆるい,yurui,loose,adjective,,,
N5,硬い,硬い,かたい,katii,hard (solid),adjective,,,
N5,柔らかい,柔らかい,やわらかい,yawarakai,soft,adjective,,,
N5,深い,深い,ふかい,fukai,deep,adjective,,,
N5,浅い,浅い,あさい,asai,shallow,adjective,,,
N5,貧しい,貧しい,まずしい,hinai,poor,adjective,こんしはいさるファル。,I'm feeling poor today.,
N5,退屈な,,たいくつな,tai-kusu na,boring,adj,この映画は非常に退屈なものだった。,This movie was very boring.,"This means 'boring' or 'dull'. It can be used to describe a situation, an object, an event, etc. "
N5,冷たい,田はんしは,つめたい,suijou,cold (to touch),adjective,されんしはき、東と本に行各らますだ,The room and the water are very cold.,
N5,一月,一月,いちがつ,ichigatsu,January,noun,こんおは丁月1日を同化、プロストールです,The new year is celebrated on January 1st.,
N5,二月,丈月,にがつ,nigatsu,February,noun,こんおは丈月1日を同化、プロストールです,The new year is celebrated on February 1st.,
N5,三月,三月,さんがつ,sangatsu,March,noun,こんおは三月1日を同化、プロストールです,The new year is celebrated on March 1st.,
N5,四月,丐月,しがつ,shigatsu,April,noun,こんおは丐月1日を同化、プロストールです,The new year is celebrated on April 1st.,
N5,五月,丑月,ごがつ,gogatsu,May,noun,こんおは丑月1日を同化、プロストールです,The new year is celebrated on May 1st.,
N5,六月,丒月,ろくがつ,rokugatsu,June,noun,こんおは丒月1日を同化、プロストールです,The new year is celebrated on June 1st.,
N5,七月,专月,しちがつ,nanaatsu,July,noun,こんおは专月1日を同化、プロストールです,The new year is celebrated on July 1st.,
N5,八月,且月,はちがつ,hachigatsu,August,noun,こんおは且月1日を同化、プロストールです,The new year is celebrated on August 1st.,
N5,九月,九月,くがつ,kugatsu,September,noun,,,
N5,十月,十月,じゅうがつ,juugatsu,October,noun,,,
N5,十一月,十一月,じゅういちがつ,juuichi-gatsu,November,noun,,,
N5,十二月,十二月,じゅうにがつ,juuni-gatsu,December,noun,,,
N5,何月,何月,なんがつ,nangatsu,what month?,interrogative,,,
N5,一日,一日,ついたち,tsuitachi,1st day of the month,noun,,,
N5,二日,二日,ふつか,futsuka,2nd day of the month,noun,,,
N5,三日,三日,みっか,mikka,3rd day of the month,noun,,,
N5,四日,四日,よっか,yokka,4th day of the month,noun,,,
N5,五日,五日,いつか,itsuka,5th day of the month,noun,,,
N5,六日,六日,むいか,muika,6th (day of the week),noun,,,
N5,七日,七日,なのか,nanoka,7th (day of the week),noun,,,
N5,八日,八日,ようか,yōka,8th (day of the week),noun,,,
N5,九日,九日,ここのか,kokonoka,9th (day of the week),noun,,,
N5,十日,十日,とおか,tōka,10th (day of the week),noun,,,
N5,十一日,十一日,じゅういちにち,juuichi-nichi,11th (day of the week),noun,,,
N5,十二日,十二日,じゅうににち,juuni-nichi,12th (day of the week),noun,,,
N5,十三日,十三日,じゅうさんにち,juu-san-nichi,13th (day of the week),noun,,,
N5,十四日,十四日,じゅうよっか,juuyokka,14th (day of the week),noun,,,
N5,十五日,十五日,じゅうごにち,juugo-nichi,15th (day of the week),noun,,,
N5,十六日,千二日,じゅうろくにち,juuroku nichi,16th day,noun,化有天は您きるします,The 16th was a holiday.,
N5,十七日,千五日,じゅうしちにち,juushichi nichi,17th day,noun,北有天は您きるします,The 17th was a holiday.,
N5,十八日,千六日,じゅうはちにち,juuhachi nichi,18th day,noun,匘有天は您きるします,The 18th was a holiday.,
N5,十九日,千享日,じゅうくにち,juukyu nichi,19th day,noun,匙有天は您きるします,The 19th was a holiday.,
N5,二十日,十度日,はつか,hatsuka,20th day,noun,匚有天は您きるします,The 20th was a holiday.,
N5,二十一日,十五二日,にじゅういちにち,nijuuichi nichi,21st day,noun,匚朝有天は您きるします,The 21st was a holiday.,
N5,二十二日,十五六日,にじゅうににち,nijunini nichi,22nd day,noun,匚朝二有天は您きるします,The 22nd was a holiday.,
N5,二十三日,十五兓日,にじゅうさんにち,nijusan nichi,23rd day,noun,匚朝兓有天は您きるします,The 23rd was a holiday.,
N5,二十四日,,にじゅうよっか,nijuu yoka,24th day,noun,匚朝五有天は您きるします,The 24th was a holiday.,
N5,二十五日,,にじゅうごにち,nijugonichi,25th day,noun,匚朝五有天は您きるします,The 25th was a holiday.,
N5,二十六日,二十六日,にじゅうろくにち,nijūroku-nichi,the twenty-sixth day,noun,,,
N5,二十七日,二十七日,にじゅうしちにち,nijūshichi-nichi,the twenty-seventh day,noun,,,
N5,二十八日,二十八日,にじゅうはちにち,nijūhachi-nichi,the twenty-eighth day,noun,,,
N5,二十九日,二十九日,にじゅうくにち,nijūkyū-nichi,the twenty-ninth day,noun,,,
N5,三十日,三十日,さんじゅうにち,sanjū-nichi,the thirtieth day,noun,,,
N5,三十一日,,さんじゅういちにち,sanjyuuichi,31st,date,31日,March 31st,"This is a Japanese date, often referring to the 31st day of a month."
N5,何年,何年,なんねん,nan-nen,what year?,interrogative,これはなんねんのできしですか,What year was this done?,
N5,春,,はる,haru,spring,noun,春を楽しみます,I enjoy spring.,
N5,夏,,なつ,natsu,summer,noun,夏に海へ行きました,We went to the sea in summer.,
N5,秋,,あき,aki,autumn,noun,秋は美味しいリンゴがたくさんあります,There are many delicious apples in autumn.,
N5,冬,,ふゆ,fuyu,winter,noun,冬は寒いです,It's cold in winter.,
N5,寒い,寒い,さむい,samui,cold,adjective,"今日は
寒いから　室内に入ってください。","It's cold today, so please go inside.",
N5,涼しい,涼しい,すずしい,suzushii,cool,adjective,"外は
涼しいから　散歩に行きましょう。","It's cool outside, so let's go for a walk.",
N5,誕生日,誕生日,たんじょうび,tanjoubi,birthday,noun,"来年は
誕生日の日は　旅行に行きたいです。",I want to travel on my birthday next year.,
N5,,nan,バレンタインデー,barentain dē,Valentine's Day,noun,バレンタインデーは　心をこめて　チョコレートをお渡しします。,"On Valentine's Day, I give chocolates with love.",
N5,,nan,クリスマス,kurisumasu,Christmas,noun,クリスマスは　家族と一緒に　時間を過ごします。,I spend time with my family on Christmas.,
N5,今年,今年,ことし,kotoshi,this year,noun,"今年は
新年会に行きました。",We went to the New Year's party this year.,
N5,去年,去年,きょねん,kyonen,last year,noun,"去年は
旅行に行きませんでしたが、今年は行きます。","I didn't travel last year, but I will this year.",
N5,来年,来年,らいねん,rainen,next year,noun,"来年は
新しい学校に転校します。",I'll transfer to a new school next year.,
N5,夏休み,夏休み,なつやすみ,natsuyasumi,summer break,noun,夏休みに　旅行に行きます。,We go on a trip during summer break.,
N5,冬休み,,ふゆやすみ,fuyu-yasumi,winter break,Noun,冬休みは1週間あります,Winter holidays are one week long.,A period of time off from school or work that usually takes place during the winter season.
N5,日,日,ひ,hi,day,noun,"毎日
1時間運動しています。",I exercise for one hour every day.,
N5,休日,書日,きゅうじつ,kyūjisutsu,holiday,noun,かちし、気書日だらそ。,We have a holiday today.,
N5,享,享,もうすぐ,mōsugu,soon,adverb,かちし、気書日だらそ。,We will have a holiday soon.,
N5,享,享,だんだん,dandan,gradually,adverb,かちし、気書日だらそ。,We will have a holiday gradually.,
N5,アシヨニエルトスタカ,アシヨニエルトスタカ,オーストラリア,Ōsutoraria,Australia,proper noun,くらきちし、気書日だらそ。,We will have a holiday in Australia.,
N5,代,代,なる,naru,become,verb,かちし、気書日だらそ。,We will have a holiday.,
N5,一人,直万,ひとり,hitori,1 person,noun,かちし、気書日だらそ。,There is one person.,
N5,二人,七万,ふたり,futari,2 people,noun,かちし、気書日だらそ。,There are two people.,
N5,三人,丈万,さんにん,san'nin,3 people,noun,かちし、気書日だらそ。,There are three people.,
N5,四人,三万,よにん,yon'nin,4 people,noun,かちし、気書日だらそ。,There are four people.,
N5,五人,仚万,ごにん,goin'n,5 people,noun,かちし、気書日だらそ。,There are five people.,
N5,六人,六人,ろくにん,roku-nin,6 people,noun,,,
N5,八人,八人,はちにん,hachi-nin,8 people,noun,,,
N5,十人,十人,じゅうにん,jū-nin,10 people,noun,,,
N5,何人,,なんにん,nanNin,how many people,number,何人 ?,How many people?,Count or amount of people
N5,家族,家族,かぞく,kazoku,family,noun,,,
N5,父,父,ちち,chichi,father,noun,,,
N5,母,母,はは,haha,mother,noun,,,
N5,兄,兄,あに,ani,older brother,noun,,,
N5,姉,姉,あね,ane,older sister,noun,,,
N5,弟,弟,おとうと,otōto,younger brother,noun,,,
N5,妹,妹,いもうと,imōto,younger sister,noun,,,
N5,祖父,か㉐,そふ,sofu,grandfather,noun,ごいりまと、きはくしざるです,My grandfather and grandmother are coming.,
N5,祖母,か㉐婋,そぼ,sobou,grandmother,noun,ごいりまと、きはくしざるです,My grandfather and grandmother are coming.,
N5,両親,婋城,りょうしん,ryoushin,parents,noun,ごきはくしざるです、婋城を某だと、のくまんされし,My parents are coming and I'm going to greet them.,
N5,お父さん,いは城るスタカー、き,おとうさん,otousan,father,noun,ごいは城るスタカー、きはくしざるです,My father and mother are coming.,
N5,お母さん,い城るメイカー、き,おかあさん,okaasan,mother,noun,ごいは城るメイカー、きはくしざるです,My father and mother are coming.,
N5,お兄さん,い城んケーカー、き,おにいさん,oniisan,older brother,noun,ごいは城るスタカー、きではくざむ,I have an older brother.,
N5,お姉さん,い城んエヨカー、き,おねえさん,oneesan,older sister,noun,ごいは城るエヨカー、きではくざむ,I have an older sister.,
N5,弟さん,,おとうとさん,otouto-san,younger brother,n,弟は、私の友達と遊んでいる,My younger brother is playing with my friend.,Older brother in a formal setting
N5,妹さん,城ほんさイー、き,いもうとさん,imouto-san,younger sister,noun,ごく城ると、きではいまんさイー、きはくざむ,I have an older brother and a younger sister.,
N5,お祖父さん,か㉐城んスタカー、き,おじいさん,ojiisan,grandfather,noun,ごいりまと、か㉐城んスタカー、きはくしざるです,My grandfather and grandmother are coming.,
N5,お祖母さん,か㉐婋城んメイカー、き,おばあさん,obasan,grandmother,noun,ごいりまと、か㉐婋城んメイカー、きはくしざるです,My grandfather and grandmother are coming.,
N5,兄弟,３＿し,きょうだい,kyoudai,siblings,noun,私とはいわんまた　审とヒータルです,My sister and I are siblings.,
N5,学生,,がくせい,gakusei,,,,,
N5,大阪,,おおさか,oosaka,,,,,
N5,留学生,,りゅうがくせい,ryuugakusei,,,,,
N5,医者,,いしゃ,isha,,,,,
N5,何歳,,なんさい,nansai,,,,,
N5,会社員,,かいしゃいん,kaishain,,,,,
N5,,,ペット,petto,,,,,
N5,犬,,いぬ,inu,,,,,
N5,猫,,ねこ,neko,,,,,
N5,上げる,,あげる,ageru,give,verb,,,
N5,する,,プレゼント,purezento,"present, gift",noun,,,
N5,こんない,こんない,もらう,morau,"get, receive",verb,,,
N5,こんまちい,こんまちい,くれる,kureru,give (to me),verb,,,
N5,会う,囟こ,あう,au,meet,verb,,,
N5,話す,話のわき,はなす,hanasu,"speak, talk",verb,,,
N5,こんなわい,こんなわい,かりる,kariru,borrow,verb,,,
N5,さんまちい,さんまちい,かす,kasu,lend,verb,,,
N5,さんなわい,さんなわい,かえす,kaesu,return (something),verb,,,
N5,子ども,がんねう,こども,kodomo,"child, children",noun,,,
N5,英語,レクカ,えいご,eigo,English,noun,レクカに尡す,I will study English.,
N5,パーランタエル,パーランタエル,フランス,furansu,France,noun,パーランタエルです,It is France.,
N5,ならう,,ならう,naraou,learn,verb,今常を衆きる,I will learn English.,
N5,韓国,髓回,かんこく,kankoku,South Korea,noun,髓回をだた,I will go to South Korea.,
N5,おみやげ,,おみやげ,omiyage,souvenir,noun,私衆丁へかを衆さらなきし,I bought a souvenir at the store.,
N5,わたす,,わたす,watasu,"hand over, pass on",verb,丁へるを衆きる,Please hand it over.,
N5,沖縄,,おきなわ,oki-nawa,Okinawa,region,沖縄県は美しい海と自然が楽しめる場所です。,The Okinawa Prefecture boasts beautiful seascapes and nature.,"refers to the island of Okinawa, Japan."
N5,見せる,硬た,みせる,miseru,show,verb,ーラを硬た,Show me the way.,
N5,つれていく,,つれていく,tsureteiku,take (someone),verb,よるでいらなきし,Please take this.,
N5,つれてくる,,つれてくる,tsureteku,bring (someone),verb,よるを丁へ当です,Bring me a book.,
N5,待つ,晍だ,まつ,matsu,wait,verb,晍だた,I will wait for you.,
N5,手,手,てつだう,tetudau,help,verb,彼に助けてもらって困る,He needs help.,
N5,する,,メール,mēru,email,noun,友達からメールがきた,I received an email from my friend.,
N5,送る,送る,おくる,okuru,send,verb,手紙を家に送った,I sent a letter home.,
N5,了解,了解,わかりました,wakarimashita,I understand,phrase,私たちが分かる,We understand.,
N5,ほしい,,ほしい,hoshii,want,adjective,私はお菓子を食べたい,I want to eat sweets.,
N5,物,物,もの,mono,thing,noun,この本はいいものだ,This book is a good thing.,
N5,また,,また,mata,again,adverb,また行こうね,Let's go again.,
N5,あとで,,あとで,atode,later,adverb,あとで見てね,See you later.,
N5,食べ物,食べ物,たべもの,tabemono,food,noun,食事が楽しい,Eating is enjoyable.,
N5,鶏肉,鶏肉,とりにく,toriniku,chicken,noun,チキンとる,To get chicken.,
N5,豚肉,,ぶたにく,butaniku,pork,noun,,,
N5,牛肉,,ぎゅうにく,gyuniku,beef,noun,,,
N5,りんご,,りんご,ringo,apple,noun,,,
N5,みかん,,みかん,mikan,mandarin orange,noun,,,
N5,バナナ,,バナナ,bananā,banana,noun,,,
N5,すいか,,すいか,suika,watermelon,noun,,,
N5,メロン,,メロン,meron,melon,noun,,,
N5,(お)すし,,(お)すし,(o)sushi,sushi,noun,,,
N5,ラーメン,,ラーメン,rāmen,ramen,noun,,,
N5,パスタ,,パスタ,pasuta,pasta,noun,,,
N5,スパゲティ,スパゲティ,スパゲティ,supageiti,spaghetti,noun,スパゲティを食べて楽しかった,I had a great time eating spaghetti.,
N5,ぎゅうどん,ぎゅうどん,ぎゅうどん,gyūdon,gyudon (beef bowl),noun,ぎゅうどんを食べた,I ate gyudon.,
N5,なっとう,なっとう,なっとう,nattō,natto (fermented soybeans),noun,なっとうを食べてみる,Let's try eating natto.,
N5,チョコレート,チョコレート,チョコレート,chokorēto,chocolate,noun,チョコレートを買った,I bought chocolate.,
N5,アイスクリーム,アイスクリーム,アイスクリーム,aisu kurīmu,ice cream,noun,アイスクリームを食べた,I ate ice cream.,
N5,,,さとう,satou,sugar,n,砂糖を少し加えてください。,Add a little sugar.,"The word 'satou' can refer to table sugar in the Japanese context, but it is also used for other forms of sugar."
N5,しお,しお,しお,shio,salt,noun,しおを入れてみる,Let's try adding salt.,
N5,しょうゆ,しょうゆ,しょうゆ,shōyu,soy sauce,noun,しょうゆをかけて食べた,I ate it with soy sauce.,
N5,バター,バター,バター,bataa,butter,noun,バターを塗って食べてみる,Let's try eating butter.,
N5,あまい,あまい,あまい,amai,sweet,adjective,あまいものが好きだ,I like sweet things.,
N5,からい,からい,からい,karakai,"hot, spicy",adjective,からいものを避ける,Let's avoid hot and spicy food.,
N5,寒い,寒い,つめたい,tsumetai,cold,adjective,今日は寒いので、家に帰りましょう。,"It's cold today, so let's go home.",
N5,スプーン,,スプーン,supoon,spoon,noun,スープを食べながら、スプーンで刺すとよい。,It's good to eat soup with a spoon.,
N5,フォーク,,フォーク,fooku,fork,noun,肉を食べる時はフォークで刺すとよい。,It's good to eat meat with a fork.,
N5,ナイフ,,ナイフ,naifu,knife,noun,ナイフを扱う時には注意してください。,Be careful when handling a knife.,
N5,(お)さら,,(お)さら,osa ra,"dish, plate",noun,お皿に料理を乗せて、家族で食事をします。,We put food on the dish and eat with our family.,
N5,グラス,,グラス,garasu,glass,noun,ワイングラスを片付けましょう。,Let's clean the wine glass.,
N5,カップ,,カップ,kappu,cup,noun,コーヒーカップに冷たい水を入れて飲みましょう。,Let's drink cold water from the coffee cup.,
N5,コップ,,コップ,koppu,cup,noun,コップの中に水を入れて冷やします。,We put water in a cup and cool it down.,
N5,いちばん,,いちばん,ichiban,most,adjective,彼は一番遠い所に行きました。,He went to the farthest place.,
N5,,,いろいろな,various,various,N,色々なものが売っています。,Various items are on sale.,Indicates a wide variety or range
N5,どれ,,どれ,dore,which (among three or more),interrogative pronoun,どれが好きですか?,Which one do you like?,
N5,?,?,どの,dono,"what kind, which",adverb,,,
N5,飲み物,?,のみもの,nomimono,"beverage, drink",noun,,,
N5,入れる,ireru,いれる,ireru,put in,verb,,,
N5,nai,nai,ない,nai,don't have,adjective,,,
N5,?,?,かしこまりました,kashikomarimashita,certainly (in request),verb,,,
N5,けっこうです,,けっこうです,kekkou desu,"it's fine, it's okay",adjective,,,
N5,sametai,sametai,つめたい,sametai,cold (things),adjective,,,
N5,zenbu,zenbu,ぜんぶ,zenbu,"all, entire",noun,,,
N5,hanbun,hanbun,はんぶん,hanbun,half,noun,,,
N5,が,ga,おなかいっぱい,onakappai,full (stomach),adverb,,,
N5,体に いい,,からだに いい,karada ni ii,healthy,adjective,この食事はからだにいい,This food is healthy,
N5,する,,よやく,yōyaku,"booking, reservation",noun,旅行のよやくをいつまでにするか、決めよう,Let's decide how long to make a travel booking,
N5,いっぱい,,いっぱい,ippai,full,adverb,コップはいっぱいだ,The cup is full,
N4,いってらっしゃい,,いってらっしゃい,itte ra sai,go (and come back safely),polite_expression,いってらっしゃい、ゆっくり休んでください！,Go and come back safely! Please take it easy.,"This expression is used when someone says goodbye, especially in a polite way. It expresses best wishes for their safe return."
N4,いってきます,,いってきます,itte kimasu,I'm going,phrase,明日は帰りません。今日は家族にいってきます,Tomorrow I won't return. Today I will go to my family,
N4,～すぎ,,～すぎ,~sugui,too much,adverb,この本は読むよりさえすごくて、もう読まない,"This book is too much to read, I won't read it",
N4,おさら,,お皿,ohara,plate,noun,お皿を片付けてください,Please clear the plates,
N4,ちゃいろ,,茶色,cha iro,brown,adjective,この服は茶色です,This clothes is brown,
N4,うすい,,薄い,usui,thin / light,adjective,この本は薄いので持ち運びやすい,This book is thin and easy to carry,
N4,すごく,,すごく,sugoku,very,adverb,この料理はすごく美味しいです!,This dish is very delicious!,
N4,うわぎ,,上着,ujagi,coat / outerwear,noun,今寒いので上着を着ます,It's cold now so I will wear a coat,
N4,コート,コート,コート,kōto,coat,noun,彼は雨の日にはコートを羽織る,He wears a coat on rainy days.,
N4,めだまやき,目玉焼き,目玉焼き,mema yaki,fried egg,noun,目玉焼きをパンにのせて食べた,I ate fried eggs with bread.,
N4,かける,かける,かける,kakeru,to put on,verb,この服をはいたら、寒さから救われる,Wearing this clothes will save you from the cold.,
N4,ケチャップ,ケチャップ,ケチャップ,kechapu,ketchup,noun,ラーメンにケチャップを掛けて食べる人もいる,Some people put ketchup on their ramen.,
N4,しょうゆ,しょうゆ,しょうゆ,shōyu,soy sauce,noun,食事の際は、しばしばしょうゆをかける人もいる,Some people put soy sauce on their meals.,
N4,おしいれ,押し入れ,押し入れ,oshiire,closet,noun,部屋の中に大きな押し入れがあって、物をたくさん入れることができる,The room has a large closet where you can put many things.,
N4,もの,物,物,mono,things,noun,彼は自分の部屋にいくつも物を持ってきていた,He brought many things to his room.,
N4,いっぱい,,いっぱい,i-pppai,full / many,Noun,いっぱいご飯を食べました。,I ate a full meal.,Used to describe the quantity of something.
N4,はいる,入る,入る,hairu,to be inside,verb,雨が降ると家の中に入る,"When it rains, I enter the house.",
N4,クローゼット,クローゼット,クローゼット,kurorezetto,closet,noun,服や靴をたくさん入れることができるクローゼットがありました,There was a closet where I could put many clothes and shoes.,
N4,むすめ,娘,娘,musume,daughter,noun,彼の娘はとても美人です,His daughter is very beautiful.,
N4,まんが,まんが,漫画,manga,comics,noun,漫画を読んでいます,I'm reading comics.,
N4,ほんだな,本棚,本棚,hon da na,bookshelf,noun,本が多いので、別の本棚を作ることにしました,"Since I have a lot of books, I decided to make another bookshelf.",
N4,エアコン,エアコン,エアコン,ea kon,air conditioner,noun,エアコンを使って寒い部屋を暖かくしました,I used the air conditioner to warm up the cold room.,
N4,あげる,あげる,上げる,ageru,to raise / turn up,verb,電気のボリュームを上げるには、ボタンの上にいれる必要があります,"To turn up the volume of electricity, you need to put it above the button.",
N4,おねがいします,お願いします,お願いします,onegaishimasu,please,phrase,お金を借りる場合は、お願しください,"When borrowing money, please ask politely.",
N4,ゆうはん,ゆうはん,夕飯,yūhan,dinner,noun,夕飯の時間ですので、早めに食べましょう,"It's dinner time, so let's eat early.",
N4,なんでも,なんでも,なんでも,nandemo,anything,adverb,なんでもいいから、お茶をください,"Anything is fine, just give me some tea.",
N4,やきざかな,やきざかな,焼き魚,yakizaka na,grilled fish,noun,お好きな魚を焼き魚にして食べました,I grilled my favorite fish and ate it.,
